Author_id,Author
2863,DANA REEVE
13043,ROY
1137,BARBARA METZGER
4820,GABRIEL GARCIA MARQUEZ
12234,REBECCA WELLS
14770,TONY HILLERMAN
12689,ROBERT JAMES WALLER
12100,RACHEL HARRIS
5889,IAN MCEWAN
10455,MICHAEL LEWIS
12486,RICHARD ZIMLER
11155,NORMAN JETMUNDSEN
9149,LORENZO CARCATERRA
771,ANNE FRASIER
8236,KAY HOOPER
2944,DAPHNE DU MAURIER
10951,NATHANIEL HAWTHORNE
8825,LEO MARX
11046,NICK PAGE
8660,LAURA WOLF
9108,LOIS DUNCAN
14115,SUSAN GRANT
1164,BARBARA VINE
13587,SHIRLEY ROUSSEAU MURPHY
6467,JANE LINDSKOLD
1384,BETTY SMITH
2745,CYBILL SHEPHERD
127,AIMEE LEE BALL
14003,STEWART ONAN
3013,DAVID BALDACCI
3728,DOUGLAS ADAMS
10050,MARY LAWSON
15272,WILLA CATHER
11214,OLIVIA GOLDSMITH
5629,HELEN FIELDING
3760,DOVER THRIFT EDITIONS
4693,FRANKLIN W DIXON
8929,LILIAN JACKSON BRAUN
5780,HOLLY VIRDEN
10586,MICHELLE MCKINNEY HAMMOND
5401,H NORMAN WRIGHT
11994,PIERS ANTHONY
12176,RAY BRADBURY
4768,FRIEDRICH SCHILLER
15155,WALTER SCHAFARSCHIK
11820,PETER NAUJACK
12191,RAYMOND CHANDLER
5467,HANS WOLLSCHLÄGER
14573,THOMAS SCHLÜCK
11139,NORBERT WÖLFL
272,ALEXANDER SCHMITZ
7932,JÜRGEN BAUER
205,ALASTAIR KER
11656,PAULO COELHO
9478,MARALDE MEYERMINNEMANN
4821,GABRIEL GARCÍA MÁRQUEZ
4530,FAY WELDON
917,ARABELLA WEIR
8382,KIANA DAVENPORT
9612,MARGARETE LÄNGSFELD
14063,SUE TOWNSEND
12265,RENAN DEMIRKAN
10478,MICHAEL MOORE
5669,HELMUT DIERLAMM
5598,HEIKE SCHLATTERER
7553,JONATHAN FRANZEN
1363,BETTINA ABARBANELL
6035,J D SALINGER
824,ANNEMARIE BÖLL
5605,HEINRICH BÖLL
4073,ELISAB
6289,JAMES JOYCE
7086,JOANNA TROLLOPE
884,ANTOINETTE GITTINGER
10650,MILAN KUNDERA
1013,ARUNDHATI ROY
12767,ROBERT S LEVINSON
9168,LORNA LANDVIK
980,ARTHUR GOLDEN
8343,KENT HARUF
11384,PATRICIA D CORNWELL
1950,CAROL J FARLEY
14725,TOM NEWSOM
8145,KATHLEEN E WOODIWISS
1242,BELVA PLAIN
9814,MARK HADDON
668,ANN BRASHARES
4382,ERICH SEGAL
4095,ELIZABETH ADLER
11035,NICHOLAS SPARKS
7460,JOHN SAUL
13953,STEVE THAYER
14806,TRACY CHEVALIER
7765,JUDITH KELMAN
10489,MICHAEL PALMER
4631,FRANCINE HUGHES
11152,NORMAN BRIDWELL
4674,FRANK MCCOURT
9438,MALACHY MCCOURT
9640,MARI SANDOZ
799,ANNE PERRY
270,ALEXANDER MCCALL SMITH
1091,BARBARA BERGMAN
5328,GREGORY MAGUIRE
15499,YANN MARTEL
13130,RUTH RENDELL
144,AL FRANKEN
3646,DONNA TARTT
7409,JOHN MILNE
14423,TERRY PRATCHETT
3825,E B WHITE
4882,GARTH WILLIAMS
6055,J M BARRIE
10071,MARY OHARA
11571,PAUL KIDBY
9226,LOUISE RENNISON
8322,KENNETH GRAHAME
1288,BERNARD CORNWELL
2177,CHARLES DE LINT
9137,LORD DUNSANY
10982,NEIL GAIMAN
5072,GEORGETTE HEYER
11236,OSCAR WILDE
6764,JEFFREY EUGENIDES
14361,TED HUGHES
562,ANDREW DAVIDSON
12544,ROALD DAHL
12039,QUENTIN BLAKE
3631,DONNA JO NAPOLI
1015,AS BYATT
14328,TANUJA DESAI HIDIER
13700,SOPHIE KINSELLA
6003,ISABEL WOLFF
9206,LOUISA MAY ALCOTT
9563,MARGARET DRABBLE
5036,GEORGE ORWELL
2178,CHARLES DICKENS
5997,ISABEL ALLENDE
4202,ELLEN DATLOW
14404,TERRI WINDLING
2249,CHARLES VESS
10981,NEIL GAIM
7621,JOSEPH HELLER
7298,JOHN GALSWORTHY
4318,ENID BLYTON
187,ALAN MOORE
8369,KEVIN ONEILL
1248,BEN DIMAGMALIW
13214,SAM KIETH
10620,MIKE DRINGENBERG
9446,MALCOLM JON
7207,JOHN BOLTON
14843,TRUDY SUGGS
14746,TOM WOLFE
1614,BRADY UDALL
5785,HOMER HICKAM
11664,PEARL ABRAHAM
13404,SEBASTIAN JUNGER
7971,KAREN ARMSTRONG
9988,MARY BARNARD
3801,DUDLEY FITTS
3022,DAVID BRIN
14278,T C BOYLE
14283,T CORAGHESSAN BOYLE
12005,PLATO
271,ALEXANDER NEHAMAS
11619,PAUL WOODRUFF
9306,LYNDA MADARAS
2866,DANE SAAVEDRA
6139,JACKIE AHER
13881,STEPHEN MCCAULEY
6007,ISABELLE HOLLAND
11291,PAM CONRAD
9284,LURLENE MCDANIEL
1667,BRIAN KAUFMAN
7250,JOHN DARNTON
9944,MARTIN SCHENK
3055,DAVID EDDINGS
8793,LEIGH EDDINGS
11600,PAUL REISER
3070,DAVID G HARTWELL
8174,KATHRYN CRAMER
2978,DAVE BARRY
7438,JOHN R HOLT
14473,THEODORE BEALE
4672,FRANK M ROBINSON
10032,MARY JANE CLARK
10086,MARY SHELLEY
12803,ROBERT WESTALL
12576,ROBERT B PARKER
12524,RITA CHAPMAN WORKS
9791,MARK CARWARDINE
27,A MANETTE ANSAY
13335,SARAH WATERS
769,ANNE FRANK
1192,BARRY LOPEZ
5311,GREG PALAST
543,ANDREA KANE
11000,NEVADA BARR
9580,MARGARET MARON
3941,EDNA BARKER
13508,SHELAGH ROGERS
10806,MURIEL WHITAKER
7335,JOHN IRVING
15329,WILLIAM GOLDING
5728,HERMANN STIEHL
5509,HARPERREFERENCE
9236,LTD
704,ANN PATCHETT
8562,LANE SMITH
14060,SUE MONK
14062,SUE MONK KIDD KIDD
13003,ROSEANNE J SERRA CO
1559,BOB THIELE
1541,BOB GOLDEN
13909,STEVE ALLEN
2649,COLLEEN MCCULLOUGH
7095,JOANNE HARRIS
14505,THOMAS CAHILL
10412,MICHAEL HUDSON
6488,JANE SMILEY
3487,DICK FRANCIS
11134,NORA ROBERTS
6651,JEAN MARZOLLO
15162,WALTER WICK
1929,CAROL DEVINE CARSON
1103,BARBARA DELINSKY
11266,P D JAMES
1003,ARTHUR W UPFIELD
2478,CHRISTOPHER RICE
12291,REX STOUT
7030,JOAN ANDERSON
14926,VANCE HAVNER
15178,WARREN W WIERSBE
10195,MAX LUCADO
8579,LARRY CRABB
1193,BARRY NEIL KAUFMAN
1557,BOB SJOGREN
4744,FREDERICK J MOODY
10964,NEAL PIROLO
15407,WILLIAM SLEATOR
880,ANTOINE DE SAINTEXUPERY
12325,RICHARD BACH
8371,KEVIN SULLIVAN
10572,MICHELE MORGAN
13372,SCOTT CUNNINGHAM
3004,DAVID ALLEN HULSE
12478,RICHARD WEBSTER
1293,BERNARD KING
11348,PAT HUTCHINS
15405,WILLIAM SHAKESPEARE
12926,ROMA GILL
10270,MELISSA MCCLONE
2308,CHERYL ST JOHN
8900,LEWIS CARROLL
9923,MARTIN GARDNER
9855,MARK TWAIN
10003,MARY CROW DOG
12361,RICHARD ERDOES
8978,LINDA GORDON
4572,FLORENCE KING
352,ALICE SEBOLD
13708,SPALDING GRAY
14529,THOMAS HARRIS
3991,EDWARD RUTHERFURD
9551,MARGARET ATWOOD
3688,DOROTHY ALLISON
10206,MAYA ANGELOU
3927,EDITH WHARTON
9992,MARY BRAVE BIRD
7297,JOHN G NEIHARDT
15022,VINE DELORIA JR
12921,ROLAND WARREN
7522,JOHNNY MOLLOY
6321,JAMES MCCOURT
15187,WAYNE KOESTENBAUM
4187,ELIZABETH WURTZEL
1419,BILL BRADLEY
3554,DON MIGUEL RUIZ
11577,PAUL LESTER
8828,LEO TOLSTOY
13643,SIMON NYE
12561,ROBERT A JOHNSON
9487,MARC GASCOIGNE
13797,STEPHANIE MAZE
13253,SANDRA DALLAS
791,ANNE MCCAFFREY
3077,DAVID GEMMELL
8661,LAURA ZIGMAN
9601,MARGARET TRUMAN
9790,MARK C YOUNG
11624,PAULA DANZIGER
14780,TONY ROSS
12317,RICHARD A LUPOFF
1725,BRUCE COVILLE
2040,CARRIE A BEBRIS
4199,ELLEN CAROL DUBOIS
1850,CANDICE F RANSOM
13210,SAM BOBRICK
7896,JULIE STEIN
12020,PRICE STERN SLOAN
720,ANNA
523,AND VOGEL
9458,MALVINA EDITOR SEWELL
9660,MARIAN LEIGHTON
3632,DONNA K GROSVENOR
6298,JAMES L STANFIELD
10097,MARY WOLLSTONECRAFT SHELLEY
2794,D J ARNESON
4469,EVA CLIF
14908,VALERIE BLOCK
9241,LUANNE RICE
4206,ELLEN GILCHRIST
14622,TIM GAUTREAUX
12452,RICHARD RUSSO
7680,JOSTEIN GAARDER
744,ANNA QUINDLEN
3460,DIANE JOHNSON
15110,WALLY LAMB
88,ADELINE YEN MAH
1108,BARBARA EHRENREICH
3695,DOROTHY DUNNETT
7363,JOHN LECARRE
13654,SINGER MEDIA CORPORATION
4280,EMILY DICKINSON
5570,HAZEL HARRISON
7619,JOSEPH GIRZONE
7611,JOSEPH F GIRZONE
9169,LORRAINE ANDERSON
62,AD HUDLER
7652,JOSEPHINE CARLTON
14362,TED L NANCY
6880,JERRY SEINFELD
4647,FRANCIS WHEEN
4219,ELLEN RIMBAUER
7709,JOYCE REARDON
13987,STEVEN RIMBAUER
13609,SIDNEY SHELDON
2467,CHRISTOPHER MOORE
11310,PAMELA JOHNSON
12711,ROBERT LACEY
14617,TIM DORSEY
7107,JODI COMPTON
4247,ELMORE LEONARD
9316,LYNN COADY
7359,JOHN LAWTON
4020,EILEEN YINFEI LO
14603,TILDEN EDWARDS
15010,VIKRAM SETH
4132,ELIZABETH GASKELL
4171,ELIZABETH PORGES WATSON
657,ANITA DIAMANT
8679,LAUREN HANEY
5095,GERALD STERN
9891,MARTHA GRIMES
5687,HENRY JAMES
13325,SARAH ORNE JEWETT
15301,WILLIAM CARLOS WILLIAMS
12297,RH VALUE PUBLISHING
5537,HARRY KEMELMAN
10649,MIL MILLINGTON
14225,SUZANNE G FARNHAM
7641,JOSEPH P GILL
12080,R TAYLOR MCLEAN
2780,CZESLAW MILOSZ
9568,MARGARET GUENTHER
12815,ROBERTO JUARROZ
10002,MARY CROW
5459,HANS KMOCH
1174,BARNIE F WINKELMAN
4305,EMMA MCLAUGHLIN
11059,NICOLA KRAUS
11564,PAUL JENNINGS
9802,MARK E NEELY JR
13860,STEPHEN J WEININGER
4683,FRANK R STERMITZ
8588,LARRY KATZENSTEIN
3200,DAVID STEINMAN
299,ALFIE KOHN
11635,PAULA POLK LILLARD
3128,DAVID LEWIS
1490,BILLIE LIVINGSTON
84,ADELE LANG
6779,JEN BANBURY
11385,PATRICIA DANIELS CORNWELL
2074,CATHERINE COULTER
3534,DOMINICK DUNNE
2610,CLIVE CUSSLER
7427,JOHN PASCAL
1873,CARL HIAASEN
3474,DIANE STEVENSON
7572,JONATHAN SAFRAN FOER
4627,FRANCESCA MARCIANO
7841,JULIA GLASS
14345,TAWNI ODELL
6823,JENNIFER WEINER
2931,DANIELLE STEEL
8830,LEON HALE
13091,RUSSELL BANKS
13233,SAMUEL TAYLOR COLERIDGE
1610,BRADLEY P WARSHAUER
1563,BOBBIE ANN MASON
8013,KAREN ROBARDS
4303,EMMA LATHEN
4532,FAYE KELLERMAN
6174,JACQUELYN MITCHARD
3468,DIANE MOTT DAVIDSON
1845,CANDACE BUSHNELL
8489,KRISTIN HANNAH
10464,MICHAEL MARSHALL
422,ALLEN WIDOME
15250,WILBUR SMITH
10638,MIKE THALER
6570,JARED LEE
10522,MICHAEL SLADE
7459,JOHN SANDFORD
7223,JOHN CAMP
14318,TAMI HOAG
14359,TED DEKKER
629,ANGELA HUNT
1810,C S LEWIS
15259,WILL EISNER
12830,ROBIN COOK
3837,E LYNN HARRIS
8976,LINDA GOODMAN
802,ANNE RICE
7784,JUDITH ROSSNER
9712,MARILYN FRENCH
15190,WAYNE W DYER
950,ARMISTEAD MAUPIN
7887,JULIE MORGENSTERN
11835,PETER STRAUB
6319,JAMES MAYBRICK
13578,SHIRLEY HARRISON
1163,BARBARA TAYLOR BRADFORD
9050,LISA JACKSON
13478,SHARYN MCCRUMB
2617,COKIE ROBERTS
13436,SHANA COREY
9854,MARK TEAGUE
6894,JESSE S OSTROW
2239,CHARLES SHAW
7926,JUSTINE KORMAN
1446,BILL LANGLEY
12936,RON DIAS
15114,WALT DISNEY P
11437,PATRICIA REILLY GIFF
1398,BEVERLY CLEARY
7946,KA APPLEGATE
6492,JANE YOLEN
5228,GOLDEN BOOKS
9971,MARVIN MILLER
2711,CRAIG BOLDMAN
5386,H G WELLS
12197,RAYMOND JAMES
6967,JIM DEAL
1565,BOBBIE KALMAN
10290,MERCEDES LACKEY
3698,DOROTHY GILMAN
10785,MOVEONORG
2452,CHRISTOPHER FINCH
2185,CHARLES FRAZIER
7850,JULIA SPENCERFLEMING
4521,FANNIE FLAGG
8627,LAURA INGALL WILDER
1713,BROOKE ZIMMER
7289,JOHN FONTANA
9043,LISA GARDNER
14808,TRACY DOCKRAY
5123,GERTRUDE CHANDLER WARNER
9331,LYNN S HIGHTOWER
4360,ERIC SCHLOSSER
14214,SUZANNE BROCKMANN
4843,GAIL CARSON LEVINE
4616,FRANCES KUFFEL
14094,SUSAN CONANT
3183,DAVID SCHICKLER
7772,JUDITH MCNAUGHT
6506,JANET EVANOVICH
14265,SYLVIA PLATH
5915,ILONA KOIDAHL
4547,FERN MICHAELS
1343,BETSY BYARS
1752,BRUCE STERLING
13303,SARAH BAN BREATHNACH
336,ALICE HOFFMAN
9065,LISA SCOTTOLINE
13711,SPENCER JOHNSON
8315,KENNETH BLANCHARD
3058,DAVID FELDMAN
8056,KAS SCHWAN
12330,RICHARD BAUSCH
8215,KATIE FFORDE
6227,JAMES BURKE
1519,BLISS BROYARD
13297,SARA PARETSKY
2254,CHARLES WEBB
4103,ELIZABETH BENEDICT
13750,STANLEY MORISON
1708,BROOKE CRUTCHLEY EDITOR
10634,MIKE P
5690,HENRY MILLER
3217,DAVID WHYTE
14510,THOMAS CUMMINGS
15170,WARREN BENNIS
5336,GRETCHEN M SPREITZE
9886,MARTHA BECK
3407,DESMOND TUTU
2589,CLAYBORNE CARSON
8481,KRIS SHEPARD
600,ANDREW YOUNG
6113,JACK KEROUAC
672,ANN CHARTERS
9916,MARTIN BUBER
15137,WALTER KAUFMANN
11019,NICCOLÒ MACHIAVELLI
10823,N H THOMPSON
11593,PAUL MONETTE
4413,ERNEST HEMINGWAY
10281,MELODY CARLSON
369,ALISA KWITNEY
1489,BILLIE LETTS
10264,MELISSA BANK
12264,RENA KORNREICH GELISSEN
5579,HEATHER DUNE MACADAM
10769,MOON UNIT ZAPPA
14365,TED MOONEY
14182,SUSAN WIGGS
5369,GWYN HYMAN RUBIO
4079,ELISABETH ROBINSON
1033,AUDREY NIFFENEGGER
14620,TIM FARRINGTON
2147,CHAIM POTOK
13388,SCOTT SPENCER
14898,V S NAIPAUL
6637,JEAN GIONO
825,ANNEMARIE MARINAMÉDIAVILLA
156,ALAINFOURNIER
2906,DANIEL LEUWERS
4379,ERICH MARIA REMARQUE
444,ALZIR HELLA
11216,OLIVIER BOURNAC
13050,ROY LEWIS
12279,RENÉ BARJAVEL
280,ALEXANDRA DAVIDNÉEL
2166,CHARLES BAUDELAIRE
9701,MARIEJEANNE DURRY
15529,YVES FLORENN
6178,JACQUES CHAMBON
5675,HENRI ROBILLOT
12116,RADIGUET
4266,EMILE ZOLA
5674,HENRI MITTERAND
15275,WILLI GLASAUER
9196,LOUIS PERGAUD
2644,COLLECTIF
12557,ROBERT A ANSON HEINLEIN
13781,STEN NADOLNY
2298,CHERYL BENARD
3908,EDIT SCHLAFFER
2367,CHRISTA WICHTERICH
7206,JOHN BLOFELD
2418,CHRISTINE OBBO
11734,PETER B HEIM
5702,HERA LIND
6453,JANE HAMILTON
6107,JACK HIGGINS
10188,MAX ALLAN COLLINS
3083,DAVID GUTERSON
1308,BERNHARD SCHLINK
1924,CAROL BROWN JANEWAY
4345,ERIC JEROME DICKEY
11391,PATRICIA GAFFNEY
12437,RICHARD PAUL EVANS
9489,MARC LEVY
8563,LANEY KATZ BECKER
15059,VLADIMIR NABOKOV
6812,JENNIFER LAUCK
7133,JOE KEENAN
6705,JEANNE RAY
14778,TONY PARSONS
6470,JANE MCCAFFERTY
8622,LAURA ESQUIVEL
2105,CATHLEEN TOELKE
1916,CAROL AMP
14495,THOMAS
7728,JRR TOLKIEN
14942,VENISE BERRY
6417,JAN KARON
2693,CORMAC MCCARTHY
1945,CAROL HIGGINS CLARK
568,ANDREW GROSS
14820,TRAVIS THRASHER
7401,JOHN MCENROE
7342,JOHN KAPLAN
13195,SALLY MANDEL
8989,LINDA LAY SHULER
6504,JANET DAILEY
2571,CLAUDE LANZMANN
13649,SIMONE DE BEAUVOIR
8806,LEMONY SNICKET
1642,BRETT HELQUIST
10159,MATTHEW THOMAS
1595,BORIS VIAN
11178,NOËL ARNAUD
2568,CLAUDE COUFFON
9278,LUIS SEPULVEDA
5832,HUBERT SELBY
6157,JACOB WEISBERG
3132,DAVID LODGE
8941,LILY SEAFIELD
11883,PHILIP ARDAGH
5863,IAIN BANKS
3042,DAVID CROMBIE
7475,JOHN STEINBECK
10485,MICHAEL OMARA
12340,RICHARD BRASSEY
15421,WILLIAM VANCE
6669,JEAN VAN HAMME
12082,R W HOLDER
4780,FROM THE EDITORS OF SOUTHWATER
1305,BERNARD WERBER
614,ANDY SLOSS
402,ALLAN ZOLA KRONZEK
4145,ELIZABETH KRONZEK
2210,CHARLES L SQUIRE
5241,GORDON JARVIE
194,ALAN SPENCE
5655,HELENE SIEGEL
7984,KAREN GILLINGHAM
3,A A MILNE
4363,ERIC THOMPSON
4181,ELIZABETH STROUT
3188,DAVID SEDARIS
8876,LESLIE FEINBERG
2337,CHRIS ANNE WOLFE
8685,LAUREN SANDERS
4838,GAEL BAUDINO
8683,LAUREN MADDISON
1920,CAROL ANSHAW
6665,JEAN STEWART
4296,EMMA DONOGHUE
3284,DEBORAH E MCDOWELL
8023,KAREN X TULCHINSKY
6951,JILL THOMPSON
7115,JODY SEAY
9461,MANDA SCOTT
6738,JEFF FOXWORTHY
14409,TERRY BROOKS
59,AC CRISPIN
9407,MADELYN ARNOLD
14321,TAMORA PIERCE
2016,CAROLYN CHUTE
13296,SARA ORWIG
10262,MELISA MICHAELS
6014,ISOBEL BIRD
4752,FREDERIK POHL
1806,C M KORNBLUTH
15067,VONDA MCINTYRE
7503,JOHN VARLEY
10864,NANCY GARDEN
11058,NICOLA GRIFFITH
7873,JULIE CAMPBELL
8784,LEE SMITH
6173,JACQUELINE WOODSON
11359,PAT SUMMITT
12331,RICHARD BELZER
11044,NICK HORNBY
575,ANDREW L JOHNSON
9654,MARIAN BABSON
8161,KATHLEEN ONEAL GEAR
15085,W MICHAEL GEAR
11596,PAUL PHIFER
11779,PETER HOEG
4407,ERMA BOMBECK
7413,JOHN MORTIMER
4026,EL DOCTOROW
13646,SIMON SCHAMA
4687,FRANK WATERS
7990,KAREN HESSE
8330,KENNETH OPPEL
13394,SD SCHINDLER
1964,CAROL RYRIE BRINK
12416,RICHARD MANTEL
7938,K A APPLEGATE
11648,PAULINE BAYNES
13528,SHELLY ROBERTS
3452,DIANE DUANE
1989,CAROLEE BROCKMAN
12109,RACHEL ROBERTS
13521,SHELLEY ROBERTS
8814,LENSEY NAMIOKA
6141,JACKIE EILEEN BEHREND
560,ANDREW CLEMENTS
1681,BRIAN SELZNICK
9120,LOIS LOWRY
1717,BROTHER YUN
11559,PAUL HATTAWAY
8118,KATHERINE KHODOROWSKY
10655,MILENA MOSER
11405,PATRICIA HIGHSMITH
4827,GABRIELE CONRAD
9141,LORE STRASSL
7936,JÜRGEN SPEH
14604,TILL R LOHMEYER
4826,GABRIELE
13888,STEPHEN R DONALDSON
14677,TODD HERZOG
13237,SANDER GILMAN
7208,JOHN BORNEMAN
12768,ROBERT S MCELVAINE
1615,BRAM STOKER
10326,MICHAEL A STACKPOLE
8567,LANGSTON HUGHES
1956,CAROL MATTHEWS
1984,CAROLE MATTHEWS
6166,JACQUELINE L TOBIN
12195,RAYMOND G DOBARD
10167,MAUDE S WAH
9755,MARION ZIMMER BRADLEY
551,ANDREI CODRESCU
2037,CAROLYNE AARSEN
6089,JACK CHAPMAN
863,ANTHONY J ALESSANDRA
2234,CHARLES R SWINDOLL
11229,ORSON SCOTT CARD
14896,V A HOWARD
6045,J H BARTON
13944,STEVE PIECZENIK
15150,WALTER P WILSON
1729,BRUCE FRIES
9964,MARTY FRIES
13084,RUSH LIMBAUGH
764,ANNE DINGUS
8066,KATE CHOPIN
8432,KIRK KAZANJIAN
3601,DONALD MERRIAM ALLEN
15397,WILLIAM R MAPLES
10347,MICHAEL BROWNING
1872,CARL HAUSMAN
12438,RICHARD PECK
10359,MICHAEL CONNELLY
7366,JOHN LESCROART
7338,JOHN JAKES
343,ALICE MCDERMOTT
5746,HILARY BAILEY
5801,HOWARD FAST
6903,JESSICA FLETCHER
3575,DONALD BAIN
4016,EILEEN GOUDGE
953,ARNETTE LAMB
11993,PIERS A JACOB
10517,MICHAEL SCHULTE
15124,WALTER CRONKITE
14724,TOM MULA
9112,LOIS FAYE DYER
13466,SHARON LAMB
13658,SIR ARTHUR CONAN DOYLE
111,AGATHA CHRISTIE
9796,MARK COHEN
13551,SHERRY SHAHAN
1345,BETSY HAYNES
5645,HELEN R MYERS
3345,DELLA ROWLAND
5987,IRVING ADLER
4168,ELIZABETH PETERS
13571,SHIRLEE BUSBEE
4275,EMILY BRONTË
4682,FRANK PERETTI
7183,JOHN A KEEL
6414,JAN GABRIEL
12236,REBECCA WINTERS
10231,MEG CABOT
14325,TANITH LEE
2116,CATHY THACKER
12343,RICHARD BURTON
1400,BEVERLY HASTINGS
13360,SAVINIEN CYRANO DE BERGERAC
4814,G STRACHAN
6231,JAMES C ROBERTSON
14391,TERESA SOUTHWICK
1122,BARBARA H SOLOMON
7756,JUDITH GUEST
13257,SANDRA FIELD
5620,HELEN BROOKS
1515,BLANCHE FISHER WRIGHT
1514,BLANCHE FISH WRIGHT
5018,GEORGE GATELY
3250,DEAN R KOONTZ
6300,JAMES LEE BURKE
10356,MICHAEL CHABON
1138,BARBARA MICHAELS
11173,NORTON JUSTER
7831,JULES FEIFFER
10343,MICHAEL BLAKE
7201,JOHN BELLAIRS
1986,CAROLE NELSON DOUGLAS
15330,WILLIAM GOLDMAN
9497,MARC REISNER
9783,MARK BOWDEN
7568,JONATHAN PEARCE
4274,EMILY BRONTE
151,ALAIN DE BOTTON
2497,CHUCK PALAHNIUK
3824,E ANNIE PROULX
68,ADAM DAVIES
5541,HARRY M WALKER
11027,NICHOLAS EVANS
9099,LM MONTGOMERY
5730,HERMANN VINKE
3153,DAVID MITCHELL
2171,CHARLES BUKOWSKI
5555,HARUKI MURAKAMI
6596,JAY RUBIN
4611,FRANCES HODGSON BURNETT
4825,GABRIELA DELLOSSO
11376,PATRICIA C WREDE
6119,JACK LONDON
254,ALEX KERSHAW
1755,BRUCE WILKINSON
3115,DAVID KOPP
9444,MALCOLM GOODWAY
847,ANNMARIE MACDONALD
8984,LINDA HOWARD
14059,SUE MILLER
13536,SHERI S TEPPER
3789,DR SEUSS
14471,THEODOR SEUSS GEISEL
14668,TOBIAS WOLFF
